frac,ch4,nB_B11,nB_B12
-2.220446049250313e-16,0.0,1.0,0.9999999999999998
-5.4978824063467435e-05,0.001000100010001,0.99998959389126,0.9999346156393121
-0.00010993915236079399,0.002000200020002,0.9999791919266405,0.9998692550619017
-0.00016488099817790758,0.003000300030003,0.9999687941017321,0.9998039182488139
-0.0002198043747861922,0.004000400040004,0.9999584004121311,0.9997386051811163
-0.00027470929544071154,0.005000500050005001,0.99994801085344,0.999673315839901
-0.0003295957733818744,0.006000600060006,0.9999376254212672,0.9996080502062828
-0.0003844638218335472,0.0070007000700070005,0.999927244111227,0.9995428082614005
-0.0004393134540039423,0.008000800080008,0.9999168669189393,0.9994775899864163
-0.0004941446830873941,0.009000900090009001,0.9999064938400312,0.9994123953625156
-0.0005489575222603627,0.010001000100010001,0.9998961248701339,0.9993472243709075
-0.000603751984685541,0.011001100110011002,0.9998857600048859,0.9992820769928242
-0.0006585280835096352,0.012001200120012,0.999875399239931,0.9992169532095211
-0.000713285831863697,0.013001300130013,0.999865042570919,0.9991518530022774
-0.0007680252428644563,0.014001400140014001,0.9998546899935059,0.9990867763523945
-0.0008227463296116566,0.015001500150015001,0.9998443415033533,0.9990217232411984
-0.0008774491051907196,0.016001600160016,0.9998339970961283,0.998956693650037
-0.0009321335826717458,0.017001700170017002,0.9998236567675046,0.998891687560282
-0.0009867997751089597,0.018001800180018002,0.9998133205131612,0.9988267049533278
-0.0010414476955421526,0.019001900190019003,0.9998029883287833,0.9987617458105922
-0.0010960773569953508,0.020002000200020003,0.999792660210062,0.9986968101135155
-0.0011506887724772596,0.021002100210021003,0.9997823361526936,0.9986318978435617
-0.0012052819549814853,0.022002200220022004,0.9997720161523809,0.998567008982217
-0.0012598569174865348,0.023002300230023004,0.999761700204832,0.9985021435109909
-0.0013144136729557054,0.024002400240024,0.9997513883057614,0.9984373014114158
-0.0013689522343376392,0.025002500250025,0.9997410804508888,0.9983724826650464
-0.0014234726145653243,0.026002600260026,0.99973077663594,0.9983076872534606
-0.0014779748265559833,0.027002700270027002,0.9997204768566463,0.9982429151582597
-0.0015324588832140718,0.028002800280028002,0.9997101811087454,0.9981781663610658
-0.0015869247974260592,0.029002900290029002,0.9996998893879798,0.9981134408435259
-0.0016413725820663139,0.030003000300030003,0.9996896016900989,0.998048738587308
-0.0016958022499921066,0.031003100310031003,0.9996793180108567,0.9979840595741034
-0.0017502138140460533,0.032003200320032,0.9996690383460136,0.9979194037856263
-0.001804607287057114,0.033003300330033,0.9996587626913356,0.9978547712036123
-0.0018589826818384836,0.034003400340034004,0.9996484910425946,0.9977901618098204
-0.001913340011187703,0.035003500350035,0.9996382233955675,0.9977255755860321
-0.0019676792878886573,0.036003600360036005,0.9996279597460377,0.997661012514051
-0.0020220005247102435,0.037003700370037,0.9996177000897941,0.9975964725757029
-0.0020763037344059265,0.038003800380038005,0.9996074444226308,0.9975319557528362
-0.0021305889297148495,0.039003900390039,0.9995971927403483,0.9974674620273217
-0.0021848561233613895,0.040004000400040006,0.9995869450387522,0.9974029913810522
-0.0022391053280549356,0.041004100410041,0.999576701313654,0.997338543795943
-0.002293336556490111,0.04200420042004201,0.9995664615608706,0.9972741192539316
-0.002347549821347661,0.043004300430043,0.9995562257762252,0.9972097177369772
-0.0024017451352924546,0.04400440044004401,0.9995459939555458,0.9971453392270619
-0.0024559225109753724,0.045004500450045004,0.9995357660946662,0.9970809837061894
